open,286.6300,287.2100,288.8000,289.7500,288.5050,286.8800,286.2200,285.4200,286.3600,285.1700,286.2350,288.9900,289.4300,289.0000,287.3700,283.8400,278.9050,278.0300,278.9335,282.0700,282.0000,282.3450,277.5200,279.1570,275.7200,276.9000,279.4000,278.0300,272.8200,269.6100,270.6900,268.8650,266.1850,266.2300,266.1600,265.9900,262.7200,259.8200,259.6300,256.0650,259.4000,259.7750,257.9000,257.9850,254.2900,253.8100,255.1600,249.9800,247.7600,245.2200,248.1250,251.2300,250.9950,251.1700,251.4300,251.7690,247.7850,247.5650,243.9600,239.3100,246.2700,246.5500,245.5750,241.8000,242.1650,244.5500,250.8700,252.1500,246.4500,249.0600,250.9700,253.4000,249.7400,255.4600,256.0780,261.5850,261.6600,257.8800,260.2100,258.9400,257.8200,260.1900,259.4700,257.9310,257.4750,257.2573,254.7100,252.8700,252.7700,247.8100,247.6100,242.7600,238.4700,232.9100,233.5250,236.5900,231.5500,235.3000,237.8450,237.4850
high,289.9700,288.6600,289.2500,291.5500,289.5000,289.6300,287.5883,287.2300,286.7750,286.6600,288.6180,290.1500,289.5750,289.6900,289.9900,286.4200,281.5200,280.9700,280.3700,284.1000,282.5100,283.6600,282.8477,279.7700,278.0500,278.7300,280.6945,279.3698,278.0000,271.8400,271.3598,271.6500,268.9000,267.2500,267.8500,266.8300,265.7900,263.5200,262.3000,261.7500,260.5800,259.9900,259.9500,258.4868,257.4600,255.5300,256.0100,254.0900,251.6500,246.3400,249.2700,251.2900,252.0800,251.4800,252.9400,252.7500,251.1600,248.3300,247.9500,243.2300,246.4100,246.5900,249.1800,245.6000,244.3800,246.6000,251.7300,254.3000,249.8600,249.5000,251.2100,254.3500,253.0800,256.1000,256.5399,263.1900,262.4350,261.5100,261.7800,260.6800,260.2000,261.4800,261.0000,259.9300,258.8300,259.1900,257.6700,255.9900,254.1390,250.9300,249.4000,249.9600,242.8400,239.1000,233.8500,236.8000,236.7100,236.9400,238.0000,241.0500
low,286.3400,285.8600,285.2000,287.8100,287.6238,286.1000,284.6500,284.0000,283.7400,283.9100,286.0800,283.8303,282.9500,286.6420,286.5000,283.4200,277.2900,276.2600,274.4500,279.4600,279.8300,280.5500,277.3900,276.5800,275.3200,274.8700,277.1500,274.3000,272.5000,269.6000,269.6043,267.9800,265.9100,264.7600,265.4700,264.4300,262.4000,257.9200,258.7500,256.0100,254.4200,257.6800,256.8000,256.6100,253.6700,253.2100,252.5100,249.8100,247.5100,243.0000,245.8400,246.9600,249.5600,249.2500,250.7500,250.8200,247.5100,244.7400,243.8600,238.6000,242.9000,243.5200,245.4900,241.4200,238.0700,242.5700,247.1200,251.1700,244.6900,245.8200,245.7600,251.1200,249.6000,249.0000,252.9500,260.1200,260.1700,257.2700,255.6400,257.2500,256.8400,257.8210,257.6014,257.7300,255.1600,256.8300,254.6200,252.4400,252.0000,247.1900,246.8800,242.7000,238.0501,232.3900,231.1000,231.8800,231.5500,231.5700,235.3200,237.0700
close,289.8100,286.9500,286.4400,288.3300,289.4600,289.5200,286.5100,287.1200,284.8200,284.9100,286.5000,286.2200,286.5400,289.0500,289.6700,286.1400,281.4000,279.3200,277.0100,280.7500,281.0300,282.5100,280.9800,277.3200,277.9400,277.4200,279.9300,277.6600,277.6500,271.6000,270.9000,271.4000,268.7200,265.0200,266.6900,265.2750,265.5100,262.6300,259.4300,260.9000,257.3800,258.3600,259.8900,257.8900,257.2400,253.5900,252.5700,253.8100,250.7900,245.7100,247.3000,247.4000,249.6800,249.3100,251.4900,251.7200,250.7800,245.1700,246.4800,243.1200,243.0800,245.1800,248.1500,243.0300,239.0000,246.2300,247.1800,252.4600,249.7300,246.4700,247.7900,251.8600,252.1800,252.5100,254.5600,261.9700,261.5500,261.1500,257.1700,260.5800,258.2600,258.7400,260.7400,259.5000,255.5900,258.4900,255.9100,255.8500,253.2500,249.9000,247.8600,249.0700,242.3500,235.7700,231.8500,235.2400,236.4800,232.3400,235.4600,237.5800
volume,14570391,13955934,18616578,16117629,16589336,13900167,16191301,17879048,16267357,20944846,17782235,33566853,33604073,23176073,22768071,23384059,24364320,26259741,32935634,26186848,22604227,23113662,26120128,18931695,23916665,24618591,23260031,31565560,26474408,16725323,21656457,19937811,19590024,25611113,21446867,19518681,24694090,26696119,37202217,27565537,27036535,18038931,19150507,18999731,24563619,17937634,22454998,23079167,25281094,25307711,19406705,23213310,18274942,24426244,17771600,17704303,21411547,21863058,21800716,25739807,20167975,24970168,23901081,29624298,36684370,33641589,29299890,27032912,26491085,21901325,32756052,19626568,30945098,40589023,46903119,31014213,19763346,21499286,25606152,24030383,19722875,23209260,24878582,25627481,23070938,23837469,27148668,24326833,23625197,22719835,22931923,36910609,30337982,43623471,24792012,25227455,25479853,34061853,25620127,31638376
